MS Zoning,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,Gr Liv Area,Full Bath,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Fence,Sale Type,Sale Condition,SalePrice
RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Twnhs,2Story,6,1971,1971,Gable,HdBoard,HdBoard,BrkFace,504.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,483.0,TA,Y,483,987,1,TA,5,Typ,0,None,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,None,COD,Normal,96000
RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Twnhs,2Story,5,1971,1971,Gable,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,525.0,TA,Y,525,1092,1,TA,6,Typ,0,None,Detchd,1997.0,Unf,1.0,320.0,TA,TA,Y,None,WD ,Normal,105500
RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Twnhs,2Story,6,1971,1971,Gable,HdBoard,ImStucc,BrkFace,381.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,525.0,TA,Y,525,1092,1,TA,6,Typ,0,None,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,None,WD ,Family,88000
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,TwnhsE,1Story,6,1977,1977,Gable,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,1069.0,TA,Y,1069,1069,2,TA,4,Typ,1,Fa,Attchd,1977.0,RFn,2.0,440.0,TA,TA,Y,None,WD ,Normal,127500
RL,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Twnhs,2Story,6,1975,1975,Gable,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,855.0,TA,Y,855,1456,2,Gd,6,Typ,1,TA,Attchd,1975.0,Unf,2.0,440.0,TA,TA,Y,None,WD ,Normal,149900
RL,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Twnhs,1Story,7,1975,1975,Gable,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,Gd,TA,No,Unf,Unf,836.0,Ex,Y,836,836,1,TA,4,Typ,0,None,Attchd,1975.0,Unf,1.0,308.0,TA,TA,Y,None,WD ,Normal,120000
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Twnhs,2Story,6,1978,1978,Gable,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,855.0,Fa,Y,855,1456,2,TA,7,Typ,1,TA,Attchd,1978.0,Unf,2.0,440.0,TA,TA,Y,None,WD ,Normal,146000
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,2Story,9,2009,2010,Gable,VinylSd,VinylSd,Stone,162.0,Ex,TA,PConc,Ex,TA,No,Unf,Unf,1590.0,Ex,Y,1627,2334,2,Ex,10,Typ,1,Gd,Attchd,2009.0,Fin,3.0,751.0,TA,TA,Y,None,New,Partial,376162
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,1Story,8,2007,2008,Gable,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1704.0,Ex,Y,1704,1704,2,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3.0,772.0,TA,TA,Y,None,WD ,Normal,306000
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,1Story,9,2009,2010,Hip,VinylSd,VinylSd,Stone,450.0,Ex,TA,PConc,Ex,TA,Av,GLQ,Unf,1930.0,Ex,Y,1940,1940,2,Ex,8,Typ,1,Gd,Attchd,2010.0,Fin,3.0,606.0,TA,TA,Y,None,New,Partial,395192
RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,1Fam,1Story,8,2009,2010,Gable,VinylSd,VinylSd,Stone,256.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1544.0,Ex,Y,1544,1544,2,Gd,7,Typ,0,None,Attchd,2009.0,RFn,3.0,868.0,TA,TA,Y,None,New,Partial,290941
RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,1Fam,1Story,7,2005,2005,Gable,VinylSd,VinylSd,BrkFace,226.0,Gd,TA,PConc,Gd,TA,Mn,BLQ,Unf,1541.0,Ex,Y,1541,1541,2,Gd,7,Typ,1,Gd,Attchd,2005.0,RFn,2.0,532.0,TA,TA,Y,None,New,Partial,220000
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,1Fam,1Story,9,2005,2005,Hip,VinylSd,VinylSd,BrkFace,615.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1698.0,Ex,Y,1698,1698,2,Ex,7,Typ,1,Gd,Attchd,2005.0,Fin,3.0,730.0,TA,TA,Y,None,WD ,Normal,275000
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,1Story,8,2005,2006,Hip,CemntBd,CmentBd,BrkFace,240.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1822.0,Ex,Y,1822,1822,2,Ex,8,Typ,1,Gd,Attchd,2005.0,RFn,3.0,678.0,TA,TA,Y,None,WD ,Normal,259000
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,1Story,7,2004,2004,Gable,VinylSd,VinylSd,BrkFace,168.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1517.0,Ex,Y,1535,1535,2,Gd,7,Typ,0,None,Attchd,2004.0,RFn,2.0,532.0,TA,TA,Y,None,WD ,Normal,214000
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,1Story,9,2009,2010,Hip,VinylSd,VinylSd,Stone,760.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,2330.0,Ex,Y,2364,2364,2,Ex,11,Typ,2,Gd,Attchd,2009.0,Fin,3.0,820.0,TA,TA,Y,None,New,Partial,611657
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,7,2009,2010,Gable,VinylSd,VinylSd,Stone,128.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,1358.0,Ex,Y,1358,1358,2,Gd,6,Typ,1,Gd,Attchd,2010.0,RFn,2.0,484.0,TA,TA,Y,None,New,Partial,224000
RL,Pave,None,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,1Fam,1Story,9,2003,2004,Hip,VinylSd,VinylSd,BrkFace,1095.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,2846.0,Ex,Y,2696,2696,2,Ex,10,Typ,2,Gd,Attchd,2003.0,Fin,3.0,958.0,TA,TA,Y,None,WD ,Normal,500000
RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,1Fam,2Story,8,2002,2002,Gable,VinylSd,VinylSd,BrkFace,232.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,1671.0,Ex,Y,1687,2250,2,Gd,7,Typ,1,Ex,Attchd,2002.0,Fin,3.0,756.0,TA,TA,Y,None,WD ,Normal,320000
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,2005,2005,Hip,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1752.0,Ex,Y,1752,1752,2,Ex,6,Typ,1,Gd,Attchd,2005.0,RFn,2.0,576.0,TA,TA,Y,None,WD ,Normal,319900
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,8,2006,2006,Gable,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,1370.0,Ex,Y,1370,1370,2,Gd,6,Typ,1,Gd,Attchd,2006.0,RFn,2.0,484.0,TA,TA,Y,None,WD ,Normal,205000
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Twnhs,2Story,7,2003,2003,Gable,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,764.0,Ex,Y,764,1626,2,Gd,6,Typ,0,None,BuiltIn,2003.0,RFn,2.0,474.0,TA,TA,Y,None,WD ,Normal,175500
RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,1Fam,1Story,6,2005,2005,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1324.0,Ex,Y,1324,1324,2,Gd,6,Typ,0,None,Attchd,2005.0,Fin,2.0,430.0,TA,TA,Y,None,WD ,Normal,199500
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,TwnhsE,1Story,7,2006,2006,Gable,VinylSd,VinylSd,BrkFace,14.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1145.0,Ex,Y,1145,1145,2,Gd,6,Typ,0,None,Attchd,2006.0,Fin,2.0,437.0,TA,TA,Y,None,WD ,Normal,160000
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,TwnhsE,1Story,8,2004,2005,Gable,VinylSd,VinylSd,BrkFace,16.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1256.0,Ex,Y,1269,1269,2,Gd,6,Typ,1,TA,Attchd,2004.0,Fin,2.0,430.0,TA,TA,Y,None,WD ,Normal,192000
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,SLvl,7,2004,2004,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,384.0,Ex,Y,744,1374,2,Gd,7,Typ,1,Gd,BuiltIn,2004.0,Fin,2.0,400.0,TA,TA,Y,None,WD ,Normal,184500
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,2002,2002,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,860.0,Ex,Y,860,1960,2,Gd,8,Typ,2,TA,BuiltIn,2002.0,Fin,2.0,440.0,TA,TA,Y,None,WD ,Normal,216500
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,2Story,7,2004,2004,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,847.0,Ex,Y,847,1733,2,Gd,7,Typ,1,Gd,BuiltIn,2004.0,Fin,2.0,433.0,TA,TA,Y,None,WD ,Normal,185088
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,SLvl,7,2000,2000,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,384.0,Ex,Y,774,1430,2,TA,7,Typ,1,TA,BuiltIn,2000.0,Fin,2.0,400.0,TA,TA,Y,None,WD ,Normal,180000
RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Gilbert,Norm,1Fam,2Story,7,2001,2001,Gable,VinylSd,VinylSd,BrkFace,180.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,884.0,Ex,Y,884,2035,2,Gd,8,Typ,1,Gd,BuiltIn,2001.0,Fin,2.0,434.0,TA,TA,Y,None,WD ,Normal,222500
RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,1Fam,2Story,9,1999,1999,Gable,VinylSd,VinylSd,BrkFace,165.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1393.0,Ex,Y,1422,2599,2,Gd,10,Typ,1,TA,BuiltIn,1999.0,Fin,3.0,779.0,TA,TA,Y,None,WD ,Normal,333168
RL,Pave,None,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,1Fam,2Story,8,1998,1998,Hip,VinylSd,VinylSd,BrkFace,114.0,Gd,TA,PConc,Ex,TA,No,Unf,Unf,1629.0,Ex,Y,1645,2475,2,Gd,7,Typ,1,TA,Attchd,1998.0,Fin,3.0,962.0,TA,TA,Y,None,WD ,Normal,355000
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,1Fam,1Story,7,1996,1996,Hip,VinylSd,VinylSd,BrkFace,338.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1720.0,Ex,Y,1720,1720,2,Gd,7,Typ,1,TA,Attchd,1996.0,Fin,2.0,527.0,TA,TA,Y,None,WD ,Normal,260400
RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,1Fam,2Story,8,1994,1995,Gable,HdBoard,HdBoard,BrkFace,362.0,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,1463.0,Ex,Y,1500,2622,2,Gd,9,Typ,2,TA,Attchd,1994.0,RFn,2.0,712.0,TA,TA,Y,None,WD ,Normal,325000
RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,1Fam,2Story,8,1999,2007,Gable,VinylSd,VinylSd,BrkFace,348.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1152.0,Ex,Y,1164,2270,2,Gd,9,Typ,1,Gd,Attchd,1999.0,Fin,3.0,671.0,TA,TA,Y,None,WD ,Normal,290000
RL,Pave,None,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,1Fam,2Story,7,1998,1998,Gable,VinylSd,VinylSd,BrkFace,30.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1195.0,Gd,Y,1195,1839,2,TA,7,Typ,0,None,Attchd,1998.0,Fin,2.0,486.0,TA,TA,Y,None,WD ,Normal,221000
RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,1Fam,1.5Fin,8,1995,1996,Hip,VinylSd,VinylSd,BrkFace,579.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,2033.0,Ex,Y,2053,3238,2,Gd,9,Typ,1,Ex,Attchd,1996.0,Fin,3.0,666.0,TA,TA,Y,None,WD ,Normal,410000
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1Fam,1Story,8,2005,2006,Gable,VinylSd,VinylSd,BrkFace,226.0,Gd,TA,PConc,Gd,TA,None,Unf,Unf,1595.0,Ex,Y,1595,1595,2,Gd,6,Typ,1,Gd,Attchd,2005.0,RFn,3.0,880.0,TA,TA,Y,None,WD ,Normal,221500
FV,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1Fam,1Story,7,2009,2010,Hip,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1218.0,Ex,Y,1218,1218,2,Gd,4,Typ,0,None,Attchd,2009.0,RFn,2.0,676.0,TA,TA,Y,None,New,Partial,204500
FV,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1Fam,2Story,7,2009,2009,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,Unf,756.0,Ex,Y,764,1547,2,Gd,7,Typ,0,None,Attchd,2009.0,Unf,2.0,614.0,TA,TA,Y,None,Con,Normal,215200
